id,type,sectionId,sectionName,webPublicationDate,formatted_date,year,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName,Wordcount
environment/2024/jan/19/brexit-divergence-from-eu-destroying-vital-environmental-protections,article,environment,Environment,2024-01-19 18:00:37+00:00,19/01/2024,2024,Brexit divergence from EU destroying UK’s vital environmental protections,https://www.theguardian.com/environment/2024/jan/19/brexit-divergence-from-eu-destroying-vital-environmental-protections,https://content.guardianapis.com/environment/2024/jan/19/brexit-divergence-from-eu-destroying-vital-environmental-protections,False,pillar/news,News,1133
environment/2024/jan/19/the-uk-environmental-protections-dropped-since-brexit,article,environment,Environment,2024-01-19 18:00:36+00:00,19/01/2024,2024,The UK environmental protections dropped since Brexit,https://www.theguardian.com/environment/2024/jan/19/the-uk-environmental-protections-dropped-since-brexit,https://content.guardianapis.com/environment/2024/jan/19/the-uk-environmental-protections-dropped-since-brexit,False,pillar/news,News,1695
business/2024/jan/14/red-sea-threat-lays-bare-economic-risks-ahead-of-us-and-uk-elections,article,business,Business,2024-01-14 13:26:13+00:00,14/01/2024,2024, Red Sea threat lays bare economic risks ahead of US and UK elections | Richard Partington,https://www.theguardian.com/business/2024/jan/14/red-sea-threat-lays-bare-economic-risks-ahead-of-us-and-uk-elections,https://content.guardianapis.com/business/2024/jan/14/red-sea-threat-lays-bare-economic-risks-ahead-of-us-and-uk-elections,False,pillar/news,News,1041
commentisfree/2024/jan/03/britain-us-elections-democracy-decline-donald-trump,article,commentisfree,Opinion,2024-01-03 06:00:13+00:00,03/01/2024,2024,In Britain and the US elections signify democracy. They also mask its decline  | Rafael Behr,https://www.theguardian.com/commentisfree/2024/jan/03/britain-us-elections-democracy-decline-donald-trump,https://content.guardianapis.com/commentisfree/2024/jan/03/britain-us-elections-democracy-decline-donald-trump,False,pillar/opinion,Opinion,1110
world/2023/dec/24/christian-nationalist-patriot-groups-2024-presidential-election,article,world,World news,2023-12-24 17:00:00+00:00,24/12/2023,2023,‘You better pray’: Christian nationalist groups are mobilizing before the 2024 elections,https://www.theguardian.com/world/2023/dec/24/christian-nationalist-patriot-groups-2024-presidential-election,https://content.guardianapis.com/world/2023/dec/24/christian-nationalist-patriot-groups-2024-presidential-election,False,pillar/news,News,1568
world/live/2023/dec/18/aleksandar-vucic-serbia-parliamentary-election-germany-portugal-europe-latest-updates,liveblog,world,World news,2023-12-18 17:12:54+00:00,18/12/2023,2023,"Serbian elections took place under ‘unjust conditions,’ international observers say – as it happened",https://www.theguardian.com/world/live/2023/dec/18/aleksandar-vucic-serbia-parliamentary-election-germany-portugal-europe-latest-updates,https://content.guardianapis.com/world/live/2023/dec/18/aleksandar-vucic-serbia-parliamentary-election-germany-portugal-europe-latest-updates,False,pillar/news,News,1836
world/2023/dec/17/democracys-super-bowl-40-elections-that-will-shape-global-politics-in-2024,article,world,World news,2023-12-17 06:00:19+00:00,17/12/2023,2023,Democracy’s Super Bowl: 40 elections that will shape global politics in 2024,https://www.theguardian.com/world/2023/dec/17/democracys-super-bowl-40-elections-that-will-shape-global-politics-in-2024,https://content.guardianapis.com/world/2023/dec/17/democracys-super-bowl-40-elections-that-will-shape-global-politics-in-2024,False,pillar/news,News,1629
politics/2023/dec/08/by-every-measure-brexit-is-harming-britain,article,politics,Politics,2023-12-08 16:25:28+00:00,08/12/2023,2023,"By every measure, Brexit is harming Britain | Letters",https://www.theguardian.com/politics/2023/dec/08/by-every-measure-brexit-is-harming-britain,https://content.guardianapis.com/politics/2023/dec/08/by-every-measure-brexit-is-harming-britain,False,pillar/news,News,1141
world/2023/nov/25/dutch-voters-on-geert-wilders-shock-election-win-coaltion-talks,article,world,World news,2023-11-25 07:22:47+00:00,25/11/2023,2023,‘A Brexit moment’: Dutch voters digest Geert Wilders’ shock election win,https://www.theguardian.com/world/2023/nov/25/dutch-voters-on-geert-wilders-shock-election-win-coaltion-talks,https://content.guardianapis.com/world/2023/nov/25/dutch-voters-on-geert-wilders-shock-election-win-coaltion-talks,False,pillar/news,News,1073
world/2023/nov/08/dutch-elections-2023-everything-you-need-to-know-polls,article,world,World news,2023-11-21 10:17:36+00:00,21/11/2023,2023,Dutch elections 2023: everything you need to know,https://www.theguardian.com/world/2023/nov/08/dutch-elections-2023-everything-you-need-to-know-polls,https://content.guardianapis.com/world/2023/nov/08/dutch-elections-2023-everything-you-need-to-know-polls,False,pillar/news,News,1257
us-news/2023/nov/18/virginia-election-poll-college-student,article,us-news,US news,2023-11-18 13:00:21+00:00,18/11/2023,2023,He’s correctly predicting the US’s most critical elections. He’s still in college,https://www.theguardian.com/us-news/2023/nov/18/virginia-election-poll-college-student,https://content.guardianapis.com/us-news/2023/nov/18/virginia-election-poll-college-student,False,pillar/news,News,1689
